image,detected,bbox,expected,predicted,confidence,fresh_probability,rotten_probability,correct,error
Dataset/Rotten/RottenApple/vertical_flip_Screen Shot 2018-06-07 at 2.41.23 PM.png,True,"38,18,358,366",rotten,fresh,0.652137,0.652137,0.347863,False,
Dataset/Fresh/FreshCucumber/freshCucumber (190).jpg,True,"99,909,3893,2206",fresh,fresh,0.684339,0.684339,0.315661,True,
Dataset/Fresh/FreshApple/rotated_by_45_Screen Shot 2018-06-08 at 5.25.22 PM.png,True,"0,59,261,288",fresh,fresh,0.953304,0.953304,0.046696,True,
Dataset/Fresh/FreshApple/a_f274.png,True,"39,27,284,283",fresh,fresh,0.998708,0.998708,0.001292,True,
Dataset/Rotten/RottenBanana/rotated_by_45_Screen Shot 2018-06-12 at 9.05.43 PM.png,True,"83,0,727,370",rotten,rotten,0.973012,0.026988,0.973012,True,
Dataset/Fresh/FreshBanana/vertical_flip_Screen Shot 2018-06-12 at 9.39.53 PM.png,True,"82,18,203,271",fresh,fresh,0.962392,0.962392,0.037608,True,
Dataset/Rotten/RottenPotato/rottenPotato (113).jpg,True,"51,49,147,199",rotten,rotten,0.966027,0.033973,0.966027,True,
Dataset/Rotten/RottenPotato/rottenPotato (313).jpg,True,"24,70,222,186",rotten,rotten,0.999665,0.000335,0.999665,True,
Dataset/Fresh/FreshCarrot/carrotasd12jh_jpg.rf.1d28d907a4f222b12dc1275ad1343ba7.jpg,True,"0,0,640,640",fresh,fresh,0.727720,0.727720,0.272280,True,
Dataset/Rotten/RottenCucumber/c_r339.png,True,"197,83,282,220",rotten,rotten,0.663527,0.336473,0.663527,True,
Dataset/Fresh/FreshTomato/IMG_20220521_181404.jpg,True,"32,61,220,238",fresh,fresh,0.999171,0.999171,0.000828,True,
Dataset/Rotten/RottenBanana/rotated_by_45_Screen Shot 2018-06-12 at 9.03.55 PM.png,True,"39,65,481,260",rotten,rotten,0.999866,0.000133,0.999866,True,
Dataset/Rotten/RottenPotato/p_r658.png,True,"132,102,321,230",rotten,fresh,0.534320,0.534320,0.465680,False,
Dataset/Fresh/FreshOrange/r_282_100_jpg.rf.13bfbeaabd7ae6324516c4f38e015f8a.jpg,True,"1,0,99,100",fresh,fresh,0.997031,0.997031,0.002969,True,
Dataset/Rotten/RottenStrawberry/rottenStrawberry (108).jpg,True,"127,48,214,146",rotten,rotten,0.999312,0.000688,0.999312,True,
Dataset/Fresh/FreshCarrot/carrot118_jpg.rf.e140aa96fbf818991d18e536e4309f39.jpg,True,"15,65,407,364",fresh,fresh,0.997981,0.997981,0.002019,True,
Dataset/Fresh/FreshApple/rotated_by_75_Screen Shot 2018-06-08 at 5.32.38 PM.png,True,"30,40,298,314",fresh,fresh,0.735840,0.735840,0.264160,True,
